11.baidu.com                  	182.61.62.50
beauty.baidu.com              	14.215.179.114
bes.baidu.com                 	112.80.248.32
cloud.baidu.com               	14.215.177.82
arthur.baidu.com              	180.97.93.143
cf.baidu.com                  	111.206.208.227
challenge.baidu.com           	14.215.179.25
cha.baidu.com                 	14.215.178.159
cat.baidu.com                 	180.101.49.58
b2b.baidu.com                 	14.215.178.42
audit.baidu.com               	10.42.3.128
bh.baidu.com                  	182.61.62.91
as.baidu.com                  	14.215.177.167
