1.qq.com                      	101.89.15.139
baby.qq.com                   	121.14.77.201, 121.14.77.221
cat.qq.com                    	220.169.154.226, 222.218.187.190
athena.qq.com                 	111.230.163.31
ce.qq.com                     	183.47.102.68, 183.47.104.104, 183.47.99.29, 183.47.99.34
cloud.qq.com                  	119.29.42.201, 119.29.47.192
joke.qq.com                   	121.14.77.201, 121.14.77.221
k.qq.com                      	116.211.185.99, 220.169.154.226
m.qq.com                      	14.22.9.102, 14.22.9.29
m5.qq.com                     	113.96.19.204, 183.47.117.154
pdm.qq.com                    	59.36.121.83
pd.qq.com                     	14.22.0.81, 14.22.6.144
party.qq.com                  	111.123.250.211, 111.123.250.232, 111.123.250.83, 113.142.166.60, 113.142.166.73, 117.21.10.168, 118.180.31.192, 118.180.31.198, 123.184.21.31, 58.42.59.105, 61.131.131.122, 61.131.131.80
mp3.qq.com                    	125.88.199.216, 125.88.199.217, 14.152.86.242, 14.152.86.5, 14.29.101.77, 183.60.131.130, 183.60.159.113, 183.60.159.123, 183.61.175.234, 59.36.97.122, 59.36.97.125, 59.36.97.54, 59.36.97.58
mx1.qq.com                    	113.96.208.206, 113.96.210.17, 183.47.112.51
player.qq.com                 	183.66.105.185
mga.qq.com                    	113.96.213.45
p1.tcdn.qq.com                	183.66.105.185
reader.qq.com                 	101.91.43.179
remote.qq.com                 	119.147.4.64, 121.14.78.158, 121.14.78.65, 14.17.27.98
ns2.qq.com                    	121.51.160.100, 123.151.66.78, 203.205.177.41, 203.205.249.143, 211.100.32.218
om.qq.com                     	14.22.7.225, 14.22.7.235
oh.qq.com                     	14.22.33.91, 14.22.6.159
medical.qq.com                	113.96.19.182, 14.22.9.214
sanguo.qq.com                 	116.211.185.99, 220.169.154.226
aba.qq.com                    	116.211.185.99, 220.169.154.226, 222.218.187.190
ac.qq.com                     	119.147.179.153, 119.147.179.221
ai.qq.com                     	113.96.19.170, 113.96.19.177
cafe.qq.com                   	183.47.113.192
bz.qq.com                     	113.96.19.170, 113.96.19.177
2014.qq.com                   	121.14.77.201, 121.14.77.221
blog.qq.com                   	121.14.77.201, 121.14.77.221
2.qq.com                      	116.211.185.99, 220.169.154.226
cd.qq.com                     	14.22.33.40, 14.22.9.250
mm.qq.com                     	183.47.97.240
radar.qq.com                  	113.108.28.198, 113.108.28.208, 119.147.190.252, 183.47.97.162
o.qq.com                      	183.3.234.191
oma.qq.com                    	59.36.121.68
sa.qq.com                     	113.105.165.204, 113.105.165.59
